Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41
3,3,3,2,3,2,2,2,3,2,3,3,4,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4
2,3,2,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3,2,3,3,3,2,2,2,3,2,3,2,3
2,2,2,2,2,3,2,2,2,2,3,3,3,2,3,2,2,2,3,3,3,2,2,1,3,3,3,2,3,2,2,3,3,3,2,2,2,2,3,2,2
3,3,2,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,2
2,2,1,2,2,2,2,3,2,2,3,4,4,4,4,4,5,4,3,3,3,2,4,4,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2
3,4,3,3,2,3,3,2,4,3,3,4,3,4,4,3,4,3,3,3,4,3,4,3,4,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,4
4,4,5,4,2,1,3,3,4,2,3,4,4,4,4,3,3,4,3,2,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4
3,2,3,2,3,3,4,3,2,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3
3,3,2,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
3,3,2,3,2,3,3,3,3,2,4,4,3,4,3,3,3,4,2,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,4,2,3,2
3,3,3,3,4,4,3,4,3,4,5,3,3,3,3,3,2,3,4,4,4,3,2,3,3,3,3,3,4,4,3,3,4,4,3,3,3,4,3,3,3
3,3,3,4,3,3,4,4,3,4,5,4,4,4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,2,3,4,4,3,3,3,3,3,3,3
2,2,2,2,3,2,2,2,3,2,2,4,4,4,4,3,4,4,3,2,2,2,4,3,2,2,2,3,2,2,2,3,3,3,3,2,2,2,3,2,2
2,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,2,2,3,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,2,3,2
4,4,4,4,3,3,2,3,3,2,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,2,2,2,2,1,3,3,3,4,4,3,3,3,4,3,2,2,3,3,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4
4,3,2,2,3,3,3,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3
2,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,3,3,3,3,3,2,4,2,3,2,3,2,2,3,3,2,2,2,2,2,2,3,2
4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3
3,3,3,3,3,4,3,3,3,3,3,5,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,2,2
4,4,5,4,2,3,4,3,4,4,4,3,2,3,3,3,4,3,4,3,3,4,3,3,4,4,3,4,4,5,5,4,4,5,4,4,4,4,4,3,4
3,4,3,3,3,3,4,3,3,4,3,3,3,2,2,2,3,3,3,3,3,3,2,2,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4
3,4,4,5,3,3,4,2,4,3,4,3,3,3,2,3,4,3,3,3,4,4,3,4,4,5,3,4,4,4,4,4,5,4,4,4,5,4,3,4,4
2,1,2,1,3,4,5,5,2,4,5,4,3,2,2,3,3,3,4,4,2,2,3,3,2,1,4,2,2,2,2,2,1,2,2,1,2,2,3,1,1
3,3,2,2,2,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,2,2,3
4,4,3,3,2,2,2,2,3,3,2,4,4,3,4,3,3,4,2,2,3,3,3,4,3,3,2,3,3,3,3,3,3,3,2,3,3,4,4,3,3
3,3,3,3,4,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,2,3,2,4,3,3,2,2,3,3,3,3,3,3,2,3,3,3
3,4,4,4,2,4,3,3,4,2,3,3,3,3,4,3,3,3,4,3,4,3,4,3,5,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4
3,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,4,4,3,4,3,3,3,3,3,3,2,4,3
3,3,3,2,4,4,4,3,3,3,4,3,3,3,2,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2
2,2,2,2,4,3,4,4,2,3,4,4,4,4,3,3,4,4,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,2,4,2,3,2,2,2
3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3
3,3,2,3,2,1,2,3,3,2,3,4,4,4,4,3,3,4,3,3,3,3,4,4,4,2,3,4,3,3,4,2,3,2,2,2,3,3,3,2,2
3,4,3,3,3,3,3,3,3,2,3,4,3,3,4,3,4,3,2,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
2,4,3,3,4,4,3,4,4,3,4,3,2,3,2,2,2,2,3,3,4,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2
2,3,2,2,3,3,3,4,2,4,3,3,3,3,4,3,3,3,4,3,3,2,4,4,2,3,3,2,3,2,2,2,3,2,2,2,2,3,2,3,3
4,4,4,4,2,2,2,2,4,2,3,3,2,2,3,3,3,3,2,3,4,3,3,2,4,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,5
3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,4,4,3,3
3,3,4,4,3,3,4,4,4,4,4,3,3,4,3,3,3,4,5,3,4,3,3,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,3,4,4
3,3,3,4,2,2,2,2,4,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3,2,3,3,3,3,3,4,4,3,4,3,3,3,3,3
5,5,4,5,3,4,4,3,5,4,2,3,3,3,2,3,3,3,4,3,5,4,3,3,5,4,4,4,4,5,5,5,4,4,5,4,5,5,4,4,4
4,3,3,3,3,2,2,3,4,4,3,4,4,3,3,4,4,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,3,3,3,4,2,3,3,3
3,4,3,3,2,3,2,2,3,2,3,4,4,4,4,3,3,4,2,3,4,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3
2,3,2,1,2,2,2,3,2,2,2,3,3,3,4,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,2,2,2,3,2,2,3,2,2,2
2,3,2,3,2,2,2,1,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
3,3,2,2,2,3,2,2,3,2,2,3,3,3,4,3,3,3,2,2,2,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,2,3,2,3
3,3,3,3,3,3,4,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,2,3,2,3,2,2,3
4,4,4,4,3,4,4,3,4,3,4,3,4,3,3,3,2,4,4,4,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,3,3,3,3
2,3,2,2,3,3,4,3,2,4,3,4,3,3,2,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2
2,3,2,2,2,3,4,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,4,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2
1,2,2,2,2,3,3,3,2,2,3,3,2,2,3,2,3,2,2,3,3,2,3,2,2,2,3,2,1,1,1,3,2,2,2,2,2,1,2,2,2
3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
3,3,2,4,1,2,2,2,3,2,2,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,2,3
4,4,4,3,2,3,3,2,3,3,2,2,2,3,2,2,3,3,2,2,4,4,2,2,4,4,2,3,3,3,4,5,4,4,4,5,3,4,4,4,4
3,3,1,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,2,4,3,2,4,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3
3,4,3,4,3,3,3,3,4,4,4,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,4,4,4,3,4
3,3,3,2,3,4,3,3,3,4,4,4,2,3,3,2,2,3,3,3,3,3,2,2,3,4,3,4,2,3,3,3,3,3,4,4,2,4,3,3,2
3,4,4,4,1,2,2,2,4,2,3,3,2,2,3,2,2,2,3,2,3,4,2,2,4,3,2,3,4,3,3,3,3,4,4,3,3,3,4,3,4
2,3,2,2,2,3,2,2,2,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,2,3,3,3,3,2,2,2,3,3,3,3
3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,4,3,3,2,3,3,4,3,4,4,3,3,3,3,3,3,3,4
1,3,2,2,2,3,3,3,2,3,3,3,4,3,4,3,3,4,3,2,2,2,3,3,2,2,3,3,3,3,2,2,3,2,2,2,2,2,3,2,2
4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3,5,4,4,4,4,4,3,4,3,3,4,4,5,4,4,4,4,4,4,4,4
3,3,2,2,2,2,3,3,3,2,3,4,4,3,2,3,3,3,4,3,4,3,3,3,3,3,2,3,4,3,2,3,3,3,3,3,3,2,4,3,3
3,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,3
3,2,2,4,2,3,3,2,4,2,3,4,3,4,4,3,3,3,3,2,3,3,4,4,4,4,2,4,3,3,3,3,4,4,3,3,3,3,3,4,3
3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,2,2,3,3,3,3,3,2,2,3,3,3,4,4,3,3,4,3,4,3,4,3,4,3,3,3
3,5,4,4,3,3,4,3,4,3,3,5,4,4,4,4,5,4,3,3,4,4,3,3,4,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,3
4,5,4,5,2,3,2,2,4,2,3,2,2,2,1,2,2,2,3,2,4,5,2,1,4,4,2,4,4,5,5,4,4,4,5,5,4,4,4,4,4
3,4,3,3,2,3,3,2,3,3,3,3,2,3,2,2,2,2,2,3,4,4,2,2,3,3,3,3,2,3,3,4,4,4,3,3,3,4,3,3,3
2,4,2,4,3,2,2,2,3,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,3,4,2,3,3,3,3,4,3,3,3,3,4,4
3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,3,3,3,3,2,4,3
2,3,2,3,4,4,4,3,2,4,4,3,3,2,3,3,1,3,4,4,2,2,2,3,2,2,4,3,3,2,2,2,2,2,2,2,3,2,2,2,2
3,3,3,2,1,2,2,2,2,3,3,4,3,3,3,4,4,4,2,2,3,2,4,3,3,4,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3
2,2,1,3,3,3,3,3,2,2,4,4,2,3,3,3,2,3,3,3,3,2,3,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,2
2,3,3,3,3,4,3,3,3,3,4,4,2,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,2,4,3,3,3,3,4,4,4,3,2
3,3,3,3,2,2,4,3,3,3,3,4,3,4,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,2,4,3,3,3,2,3,3,3,3,3,3
1,2,1,1,2,3,3,3,1,2,3,3,2,3,1,2,2,3,3,2,2,2,2,3,1,1,3,1,2,1,2,1,1,1,2,1,2,1,2,2,1
3,3,4,3,2,2,3,3,3,3,2,3,3,4,3,2,3,3,3,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3
3,4,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,4,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,3,4,3,4,3
3,3,2,3,2,2,2,2,3,2,3,4,4,4,3,4,3,3,4,3,3,3,3,3,2,3,1,3,3,2,3,3,3,2,3,2,2,2,2,2,3
3,4,4,3,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4
3,3,3,3,1,1,2,2,3,2,2,3,4,4,3,3,3,4,2,2,4,3,4,3,4,3,2,3,3,4,4,4,3,3,3,3,4,4,3,3,4
2,2,2,1,3,3,3,3,2,3,4,3,3,2,2,3,3,3,3,3,2,1,2,2,2,1,3,1,1,1,1,1,2,2,2,1,3,2,1,1,1
3,3,2,3,3,4,4,4,3,4,4,3,3,3,3,3,2,3,3,4,4,4,3,3,3,3,4,3,4,3,2,3,4,3,2,3,3,3,3,3,4
2,3,2,2,3,4,4,3,2,3,4,3,3,2,4,3,3,3,4,3,2,3,3,3,2,3,4,2,3,2,2,3,2,3,3,2,2,2,2,2,3
2,3,2,3,1,2,2,2,2,1,2,4,5,4,4,5,5,4,2,2,2,3,5,4,3,2,2,3,3,3,2,2,3,3,2,3,2,3,3,2,3
3,4,3,3,2,3,2,2,4,2,2,4,4,4,3,3,2,4,3,1,4,4,3,3,4,4,2,4,4,3,4,5,4,4,3,3,5,4,4,4,4
4,4,3,4,3,3,3,3,4,3,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,3,3,3,3,4,3,4,4,4,3,4,4,4,3,3
2,3,3,2,2,1,1,1,3,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,1,3,3,3,2,2,3,3,4,2,3,3,2,2,3
2,4,3,4,2,3,3,2,3,2,2,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,2,3,3,3,4,4,3,3,2,3,3,3,2,3,2
3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,4,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,2,3,2,3
4,3,3,4,2,3,2,4,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,2,4,3,3,4,4,4,3,3,4,3,4,2,4,4,4,4,4
2,4,3,3,2,2,1,1,4,1,1,3,3,3,2,3,2,3,2,2,3,4,3,3,3,3,1,4,4,4,3,4,2,3,3,4,3,4,3,4,4
3,4,3,5,4,3,4,3,3,4,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,5,4,4,4,5,4,4,5
3,3,2,3,2,3,3,3,3,2,3,4,3,4,3,2,3,4,3,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3
4,3,3,4,3,3,3,2,3,3,3,4,3,4,4,3,3,3,3,3,5,3,4,3,4,4,3,4,3,5,3,4,3,3,3,3,4,4,4,4,4
3,3,3,3,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,4,4,3,3,3,3,3,3,3,4,3,3,2,4
3,4,3,3,3,3,4,3,3,3,4,2,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3
3,4,3,3,2,2,3,3,4,3,3,4,3,3,3,3,2,4,4,3,3,3,4,3,3,3,3,4,4,3,4,4,4,3,4,4,4,3,3,3,4
3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2
2,3,2,4,3,3,3,2,3,2,3,3,3,3,4,3,3,2,2,2,3,3,3,3,4,3,2,3,4,3,3,2,2,3,3,3,3,3,3,2,3
3,4,3,4,2,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,3,2,4,4,3,3,4,3,3,5,4,3,4,4,3,4,4,3,3
3,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,4,3,2,4,3,4,4,4,2,4,3,3,3,3,3,4,3
2,4,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3
3,3,2,2,2,3,3,2,2,4,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3
4,4,2,4,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,4,4,3,3,4,4,2,4,4,4,4,4,4,3,3,4,4,4,3,3,4
4,4,4,4,2,3,3,2,4,3,3,3,4,4,3,4,3,4,3,3,4,4,3,3,4,5,3,4,4,4,4,5,3,4,4,5,4,5,4,4,4
3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,3,2,3,4
3,3,3,3,2,3,3,2,3,3,3,3,4,3,3,4,3,3,3,2,3,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,2,3,3,2
2,3,2,3,3,3,3,4,4,3,4,3,2,2,3,3,3,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4
4,4,3,3,3,4,4,3,4,3,3,4,3,3,4,4,3,3,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,3
3,3,3,3,3,2,3,2,3,2,4,3,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,4,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3
4,2,2,2,3,2,3,3,1,2,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3,3,3,2,3,3,2,2,2,3,2,2,3,2,2,1,2
3,4,3,3,2,3,4,4,3,3,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,4,3,4,3,4,4,3,4,4
2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,2,2,2,2,3,3
3,2,3,4,3,2,3,2,3,3,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,2,2,3,3,2,2,3
3,3,3,4,3,3,3,4,3,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,2,2,3,4,2,3,3,3,2,3,3,3
3,4,3,3,2,3,3,3,3,3,3,3,2,3,2,1,2,3,3,3,3,3,2,2,4,2,4,3,3,3,3,3,3,3,3,3,4,2,3,3,4
2,3,3,2,3,3,4,3,2,3,4,3,3,2,3,2,2,3,4,3,3,3,3,2,3,3,4,3,3,2,3,3,3,3,3,2,4,3,3,2,3
